Hiligaynon Phrase,English Phrase
Tun-an naton ang abakáda subong nga adlaw,Let's study the alphabet today
Masakit ang akon abága sa pagdala sang bag.,My shoulder hurts from carrying the bag.
Matahum ang iya abalóryo nga human sa seashells.,Her beads made of seashells are beautiful.
Siya ang mangin ábay sa kasal sang iya tiya.,She will be a witness at her aunt's wedding.
Abáw! Kadaku gid sang imo nakuha nga isda.,Wow! The fish you caught is really big.
Nag’aberíya ang kótse.,The car had engine trouble.
Abí’ husáya ánay iní.,Would you please solve this first.
Gin’ábi’ábi sya sang mangá táwu.,He was greeted by the people.
Gusto niya mangin abogádo sa pag-abot sang panahon.,He wants to be a lawyer in the future.
Indi maayo ang mag-abóso sa mga sapat.,It is not good to abuse animals.
Nag’ábri si Pédro sang bintána.,Pedro opened a window.
Sa bulan sang Abríl nagasaulog kami sang amon fiesta.,We celebrate our fiesta in the month of April.
Ábtik gid ang bata nga nagatindog sa unahan.,The child standing at the front is very lively.
Gintabunan sang abú ang mga tanum sa palibot.,Ash covered the plants in the area.
Nagbakal si Tatay sang abúnu para sa humay.,Father bought fertilizer for the rice plants.
Nag’abút sya kahápun.,He arrived yesterday.
Ikaw ang pinakasuod ko nga ábyan.,You are my closest friend.
Nadula ang iya ákig sang nagpangayo ako sang patawad.,His anger disappeared when I asked for forgiveness.
Akú ang mapasa sang akon proyekto bwas.,I will submit my project tomorrow.
Gin áku’nya ang salá’.,He admitted the guilt.
Ining lapis nga yara sa lamisa amo ang ákun.,This pencil on the table is mine.
Malipayon nga ádlaw sa imo!,Happy birthday to you!
Nagatuon kami sang amon leksyon ádlaw-ádlaw.,We study our lessons everyday.
Baldádo ang ákun láwas.,My body is all tired out.
Maayong ága sa inyo tanan.,Good morning to you all.
Buotan gid ang amon agálun sa ubrahan.,Our boss at work is very kind.
Gin’ágaw sang báta’ ang lápis.,The child grabbed the pencil.
Ang ágay sang tubig sa gripo mahinay gid.,The flow of water from the faucet is very slow.
Nag ágbay sya kay Cárlos.,He put his arms around Carlos’ shoulder.
Gin’ágda sya pára sa pyésta.,He was invited to the fiesta.
Kanami sang imo ági sa papel.,Your handwriting on the paper is very nice.
May mangá sapat nga matawag naton nga agí’.,There are animals that we can call hermaphrodites.
Sa bulan sang Agósto naga-umpisa ang amon klase.,Our classes start in the month of August.
Nagpangayo kami sang bulig sa agrimensór para sa duta.,We asked for the surveyor's help regarding the land.
Ang mangá mangunguma naga-ágsa sa talamnan ni Manuel.,The farmers are working the field of Manuel for a share.
Nag’ágsik ang túbig.,The water sprayed.
Masakit ang iya ágtang tungod sa hilanat.,His forehead is sore because of the fever.
Magtuon ka sing maayo agúd makapasar ka sa eksamen.,Study hard so that you can pass the exam.
Gin’águm nya ang katibawásan sa pangabúhi’.,He attained success in life.
Mabanglo gid ang iya ágwa nga gingamit.,The perfume she used is very fragrant.
Nag’ agwánta sya sang madámu’ nga kasákit.,He suffered through a lot of heartaches.
Nag’ahá’ sya nga ma’upúd sa síni.,He insisted that he go to the movies [with them).
Nagkadto sila sa ahénsya para magprenda sang singsing.,They went to the pawnshop to pawn a ring.
Ang ahénte sang insurance nagpahatag sang ila polisiya.,The insurance agent explained their policy.
Ginigisa ni Nanay ang áhos kag sibuyas.,Mother is sautéing the garlic and onions.
Mainum si Tatay sang alabá’ab nga tubig.,Father will drink lukewarm water.
Gindilian sang doktor ang pag-inom sang álak.,The doctor forbade the drinking of liquor.
Siya ang paborito nga alágad sang mag-asawa.,He is the favorite adopted person of the couple.
Matahum ang mangá aláhas nga nakatago sa kahon.,The jewelry hidden in the box is beautiful.
Ang álam sang tigulang daku gid ang nabulig sa amon.,The wisdom of the elder helped us a lot.
Gingamit ang alámbre para ihigot ang mangá gamit.,Wire was used to tie the things together.
May alangá’ang ang bata gani wala siya kaeskwela.,"The child has a slight fever, so he didn't go to school."
Álang’álang pa ang prutas nga nakuha mo sa kahoy.,The fruit you picked from the tree is still immature.
Ang tanan nga tawo dapat alangáy sa idalum sang layi.,All people should be equal under the law.
Alás tres na.,It is already three o’clock.
Bawasan mo ang álat sang imo ginaluto.,Reduce the saltiness of what you are cooking.
Puno ang alát sang mangá preska nga isda.,The basket is full of fresh fish.
Nag-álay ang akon likod sa sige pungko.,My back became stiff from sitting too long.
Nag’aláy’ay si Manuel kag si Jose kay Noel.,Manuel and Jose carried Noel.
Naghatag sang mensahe ang alkálde sa mga pumuluyo.,The mayor gave a message to the citizens.
Naka-eksperyensya kami sang alkánse sa negosyo subong.,We experienced a financial loss in business now.
Ang bata nagasulod sang iya sensilyo sa alkansíya.,The child is putting his coins into the coin bank.
Ang mangá mamumugon nagbutang sang alkítran sa kalsada.,The workers put tar on the road.
Ang alibángbang nagalupad sa tunga sang mangá bulak.,The butterfly is flying among the flowers.
Nadula ang iya aligútgut sang nag-istoryahanay sila.,His rage disappeared when they talked to each other.
Nagbakal si Nanay sang preska nga alimángu sa merkado.,Mother bought fresh crab at the market.
May daku nga alipúlus nga natabo sa baybayon.,A big cyclone happened at the coast.
Gin’alíntun ni José ang balíta’ kay Joséfa.,Jose related the incident to Josefa.
Dapat mangin alísto kita kon may katalagman.,We must be alert when there is danger.
Nagbakal ako sang kinahanglanon sa almasín.,I bought the necessities at the store.
Gintunaw ni Lola ang almidól para sa iya bayo.,Grandma dissolved the starch for her clothes.
Ang almiránte ang nagagiya sa bug-os nga hubon.,The admiral guides the entire fleet.
Kinahanglan tun-an sang mga bata ang alpabéto.,The children need to study the alphabet.
Mahumok ang alpómbra nga ginbakal ni Nanay.,The carpet that Mother bought is soft.
Gin’álsa nya ang báskit.,He lifted the basket.
May gamay siya nga alúm sa iya ilong.,She has a small mole on her nose.
Ano ang imo alúng’ung parte sa amon leksyon?,What is your opinion regarding our lesson?
Gin’-áman ni nánay ang pagká’un sa bisíta.,Mother prepared the food for the visitor.
Ang amargóso maayo gid nga bulong sa lawas.,Bitter melon is a very good medicine for the body.
Amát’amát lang ang pagkat-on sang bag-o nga hambal.,Learning a new language happens gradually.
Siya ang mapinalanggaon nga amáy sa iya mangá anak.,He is a loving father to his children.
Nabatian namon ang ámba sang mangá kaparian.,We heard the chant of the priests.
Gin’ámbit nya ang kadunggánun.,He shared in the honor.
Ang iya ámbung naga-iwag sa bug-os nga kwarto.,Her radiance lights up the whole room.
Ámbut kon diin na nagkadto ang akon mangá libro.,I don't know where my books went.
Madamo nga mangá Pinoy ang nagaistar sa Amérika.,Many Filipinos live in America.
Nagsuksok siya sang puti nga amerikána sa selebrasyon.,He wore a white formal coat at the celebration.
Ang Amerikáno nga bisita nanamian sang amon pagkaon.,The American guest liked our food.
Si Jose ang akon pinakasuod nga amígo.,Jose is my closest friend.
Natuhog ang iya mata sang iya kaugalingon nga amimíluk.,Her eye was poked by her own eyelash.
Ang hangin nagahalin sa dapit nga amínhan.,The wind is coming from the north.
Gin’-amligán ni Élsa ang íyang bág’ung líbro.,Elsa was careful with her new book.
Ang iya ámpu’ napamatian sang Mahal nga Diyos.,Her prayer was heard by the Lord.
Maayo ang pagtratar sang amon ámu sa amon.,Our boss treats us well.
Amú gid ini ang rason kon ngaa wala ako nakatapos.,That is the reason why I didn't finish.
Ang amú’ nagahampang sa sanga sang kahoy.,The monkey is playing on the tree branch.
Gintun-an kami kon paano mag-amúma sang mangá sapat.,We were taught how to nurture animals.
Ini ang ámun nga eskwelahan sa amon banwa.,This is our school in our town.
Naghatag ang mangá ginikanan sang ámut para sa kudal.,The parents gave a contribution for the fence.
Kanami sang ámyun sang bag-o nga luto nga kan-on.,The fragrance of newly cooked rice is nice.
Sulatan mu si José.,You write to Jose.
Nagkita’áy silá.,They saw each other.
Nagsugál kamí sa sugálan.,We gambled in the gambling den.
Palangga gid ni Nanay ang iya mangá anák.,Mother loves her children very much.
Butangánan iná’ sang mangá líbro.,Those are bookshelves.
Nagsumbagánay silá.,They boxed each other.
,
Hulat ánay.,Please wait a minute.
,
Natabo ang daku nga ánaw sang panahon ni Noah.,The great flood happened during the time of Noah.
Nag’ámdam sa pagmaného si Pedro.,Pedro was cautious with his driving.
"Paghalin sang barko, ginkakas na ang andámyu.","When the ship left, the gangplank was removed."
Nag’ándar ang motor.,The motor worked.
Si anhíng Juan isa ka maayo nga tawo.,The late Juan was a good man.
Madamo ang amon áni nga humay subong.,Our rice harvest is plenty right now.
Gin’aningál nya ang tíngug ní nánay.,She seemed to hear mother’s voice.
Manghinaw ka sang kamot ántes magkaon.,Wash your hands before eating.
Antígu na sia maghambal sang Ingles.,He is already knowledgeable in speaking English.
Antipatikú ang iya pamatasan sa mga tawo.,His behavior towards people is unsympathetic.
May napanimshuan ako nga ántud halin sa kusina.,I smelled a burnt odor coming from the kitchen.
Nag’ántus akú sang kapobréhan.,I suffered through poverty.
Kinahanglan ni Lola ang iya antyúhus para magbasa.,Grandma needs her eyeglasses to read.
Anú iní?,What is this?
Gin-ánud sang sulog sang tubig ang mga kahoy.,The water current caused the wood to drift.
Manggaránun si Conchita.,Conchita is rich.
Banwahánun si Teresíta.,Teresita is from the town.
Nabatian namon ang anúnsyo sa radyo kaina.,We heard the announcement on the radio earlier.
Ang iya ányag wala gid nagatuhay.,Her beauty is truly incomparable.
Ano nga ányo ka gin-anak?,What year were you born?
Ang líbro ára’ sa lamésa.,The book is on the table.
Ang imo bayo ángay gid sa okasyon.,Your dress is very appropriate for the occasion.
Gin’ángkab sang idú’ ang báta’.,The dog bit the child.
Ginhulog sang kapitan ang ángkla sang sakayan.,The captain dropped the anchor of the boat.
Nag’ángkun sya sang kwárta.,He acquired some money.
"""Dodoy"" ang iya ángga’ sa ila balay.","""Dodoy"" is his nickname at their house."
Ang mag-ulutod ánggid gid sing pangguyahon.,The siblings look very alike in the face.
I-angút ang pisi sa haligi sang balay.,Fasten the rope to the post of the house.
Nagbakal ako sang ice cream nga may ápa.,I bought an ice cream with a cone.
Ang bata nga apá’ nagagamit sang senyas.,The mute child uses signs.
Gústo ku magbakál ápang walá’akú sang kwárta.,"I would like to buy, but I don’t have any money."
Ipaplastar ang mga bayo sa sulod sang aparadór.,Arrange the clothes inside the closet.
Nag-ápas si Maria sa iya Nanay sa merkado.,Maria followed her mother to the market.
Ginkakas sang doktor ang iya ápdu.,The doctor removed his gall bladder.
Ano ang apelyédo sang imo pamilya?,What is your family's surname?
Indi maayo ang mag-ápin sa sala nga buhat.,It is not good to side with wrongdoings.
Apínas na ang isda sa suba subong.,Fish are scarce in the river now.
Nag’aplá’ag ang florera.,The flower vase scattered into pieces.
Paborito ni Lola ang iya kamanghuran nga apú.,Grandma's favorite is her youngest grandchild.
Na-ápuk ang mga atop sang balay sa kusog sang hangin.,The roofs of the houses were blown aside by the strong wind.
Naggamit sila sang ápug para sa paghimo sang kalamay.,They used lime for making sugar.
Nag’apurá akú kay ulihí na akú.,I was in a hurry because I was already late.
Ára’ sa ibabaw sang lamesa ang imo libro.,Your book is there on top of the table.
Ang imo libro ára’ dirá’ sa idalom sang lamesa.,Your book is there under the table.
Ginhanda ni Tatay ang arádu para sa talamnan.,Father prepared the plow for the field.
May matahum nga árko sa pirtahan sang banwa.,There is a beautiful arch at the town entrance.
Aresgádo gid sia kon parte sa pagbiyahe.,He is very adventurous when it comes to traveling.
Ári na ang pagkaon nga ginbakal ko.,The food I bought is here.
Arí’arí ang pagtubo sang tanom kay wala sing tubig.,The plant's growth is stunted because there is no water.
Ári dirí sa akon ang yabi sang balay.,The house key is here with me.
Mataas ang iya grado sa aritmétika.,His grade in arithmetic is high.
Nadula ang pikas nga arítus ni Inday.,Inday lost one side of her earring.
Ginkumpiskar sang mga pulis ang mga ármas.,The police confiscated the weapons.
Manami ang árte sang iya pagpinta.,The art of his painting is nice.
Nakabasa ako sang manami nga artíkulo sa peryodiko.,I read a nice article in the newspaper.
Arúy! Nasalapay ang akon tiil sa silya.,Ouch! My foot bumped against the chair.
Milyonaŕyo na si López.,Lopez is already a millionaire.
Ásab gid sia magkaon kon gutom.,He is very gluttonous when eating if he's hungry.
Nag asál kamí sang bábuy.,We roasted a pig.
Pula pa ang ásang sang isda gani preska ini.,"The fish gills are still red, so it is fresh."
Maayo nga asáwa si Elena sa iya bana.,Elena is a good wife to her husband.
Ang kudal human sa mabakod nga aséro.,The fence is made of strong steel.
Ang mga tigulang nagaistar sa asílo.,The elderly live in the sanctuary.
Nag’asikáso akú sang umá.,I took care of the farm.
Butangi sing diutay nga asín ang sud-an.,Put a little salt in the dish.
Sobra ang áslum sang sani nga sinigang.,The sourness of this soup is too much.
Nakita namon ang madamol nga asú halin sa bukid.,We saw thick smoke coming from the mountain.
Nagbakal ako sang isa ka kilo nga asúkar.,I bought one kilo of sugar.
Ang asúgi sa sulod sang thermometer makahalit.,The mercury inside the thermometer is harmful.
Ang duag sang iya bayo amo ang asúl.,The color of her dress is blue.
May asúntu sia sa korte parte sa duta.,He has a lawsuit in court regarding the land.
Indi matuod ang mga istorya parte sa áswang.,The stories about witches are not true.
Ang asyendéro nagahatag sang trabaho sa mga tawo.,The landowner provides jobs to the people.
Ang atataró nagakaon sang mga dahon.,The caterpillar eats the leaves.
Gin’atáke sang mangá soldádo ang mangá tulisán.,The soldiers attacked the bandits.
Ang atáy isa ka importante nga parte sang lawas.,The liver is an important part of the body.
Sin-o ang ma-atendér sa mga bisita?,Who will attend to the guests?
Kinahanglan sang bata ang aténsyon sang iya ginikanan.,The child needs the attention of his parents.
Áthag gid ang iya paathag parte sa leksyon.,His explanation about the lesson is very clear.
Nag’atí ang mangá Huk sa búkid.,The Huks plundered the mountain area.
Nag’atipán akú sang pasyénte.,I took care of the patient.
Gin’atipuyúng akú ka’ína.,I felt faint earlier today.
Nag’átras akú.,I moved back.
Atráso na kami nag-abot sa eskwelahan.,We arrived late at school.
Namit i-pares ang atsára sa sinugba.,Pickled papaya is delicious to pair with grilled food.
Tan-awa ang bukid sa atú nga dapit.,Look at the mountain in that place over there.
Nag’atúbang akú sa ímu.,I faced you.
Tuluka ang pispis atú dídtu sa ibabaw sang bungtod.,Look at the bird over there on top of the hill.
Ini ang átun pungsod Pilipinas.,"This is our country, the Philippines."
Kinahanglan kay-uhon ang naga-tulu nga atúp.,The leaking roof needs to be fixed.
Gamit sang cotton buds sa pagkuha sang atutúli.,Use cotton buds to remove earwax.
Nakabatyag ako sang áwa’ sa makililimos.,I felt pity for the beggar.
Nag-áwas ang tubig sa balde.,The water overflowed from the bucket.
Gin’awát mu lang akú.,You just wasted my time.
Wala sing maayo nga madulot ang áway.,A fight brings nothing good.
Nagbisita sia gamit ang iya bag-o nga áwto.,He visited using his new car.
Áy! Nalipat ako magdala sang akon pitaka.,Oh no! I forgot to bring my wallet.
Mag-buligay kita para matapos ang obra.,Let's help each other to finish the work.
Gin’ayág ku ang harína.,I sifted the flour.
Nangayám silá sang usá.,They hunted for deer.
Gin’ayáp ku ang ílu.,I adopted the orphan.
Na’ayáwan si Pédro sang pagká’un.,Pedro was more than satisfied with the food.
Sigúro ang kandidáto ku áyhan ang mada’úg.,Perhaps my candidate will win.
Nag’áyu ang masakítún sang hináli’.,The sick person got well rapidly.
Nag-áyu’ ako sang presyo sa tindahan.,I asked for a discount on the price at the store.
Takpi ang imo bá’bá kon ikaw mag-uy-ab.,Cover your mouth when you yawn.
Ang akon maestra isa ka maayo nga babáyi.,My teacher is a good woman.
Nagpakaon si Tatay sang mga bábuy sa kulungan.,Father fed the pigs in the pen.
Ang gatas sang báka masustansya gid.,Cow's milk is very nutritious.
Ang iya paglakat medyo baká’.,His way of walking is a bit bow-legged.
Ginbakág akú sang hulát sa íya.,I got annoyed waiting for him.
Gusto ko mag-bakál sang bag-o nga sapatos.,I want to buy new shoes.
Malipayon ang amon bakasyón sa Boracay.,Our vacation in Boracay was happy.
Ginbákbak ku ang pánit sang káhuy.,I stripped off the bark of the tree.
Ang mga bákhaw nagaprotekta sa baybayon.,The mangroves protect the coast.
Nagbákhu’ silá sang pagkamatáy sang íla amáy.,They mourned the death of their father.
Báknal ang iya dala nga mga bag.,The bags he is carrying are bulky.
Gin-báknit niya ang akon kamot para makuha ang akon atensyon.,He nudged my hand to get my attention.
Bákud gid ang pundasyon sang sining balay.,The foundation of this house is very strong.
Ginbákul si Juán sang mangá hurúng.,Juan was badly beaten by some goons.
Nagtakas kami sa bakúlud para makita ang view.,We climbed the hill to see the view.
Importante ang bakúna para malikawan ang sakit.,Vaccination is important to avoid illness.
Madamo ang iya bádlu’ tungod sang ubo.,He has a lot of phlegm because of the cough.
Ginbádlung ku ang ákun mánghud.,I corrected the behavior of my younger sister.
May mga bága pa sa idalum sang abo.,There are still embers under the ash.
Ginbuligan ko sia sa pagpasan sang iya bagáhe.,I helped him carry his luggage.
Ginbagáng ku ang plántsa.,I heated the iron.
Si Dr. Jose Rizal ang amon pungsodnon nga baganíhan.,Dr. Jose Rizal is our national hero.
Ang bagásu mahimo nga gatong sa pagluto.,Bagasse can be used as fuel for cooking.
Ang isla sang Mindanao yara sa dapit nga bagátnan.,The island of Mindanao is in the south.
Ano ini nga bágay nga yara sa sulod sang kahon?,What is this thing inside the box?
Kinahanglan i-bágid ang posporo para magdabdab.,You need to rub the matchstick for it to light up.
Nabatian namon ang bágrung sang dalugdog.,We heard the roaring sound of the thunder.
Nagbágrut ang ngípun mu kagáb’i.,You ground your teeth (in your sleep) last night.
Ginpangpaksian niya ang katre tungod sa bágsak.,He cleaned the bed because of bedbugs.
Nagbágting ang lingánay.,The bell rang.
Nagbágtung kamí sang mangá kamátis.,We wrapped some tomatoes.
Magpangamuyo kita bágu magtulog.,Let's pray before sleeping.
Ipakita ko sa imo ang akon bág’u nga hampanganan.,I will show you my new toy.
Ginhimo namon nga baso ang bagúl.,We made the coconut shell into a cup.
Wala sing klase tungod sa baskog nga bágyu.,There are no classes due to the strong typhoon.
Nagtaas ang tubig kag nag-bahá’ sa amon kalsada.,The water rose and flooded our street.
Bahála’ ka na siná’.,You are responsible for that.
Ini ang imo báhin sa amon nakuha nga mangga.,This is your share of the mangoes we gathered.
Ginbáhit ku ang sinúgba nga bábuy.,I took the roasted pork out of the fire.
Manami ang tunog sang báhu sa kanta.,The sound of the bass in the song is nice.
Indi maayo ang báhu’ sang dunot nga pagkaon.,The smell of rotten food is not good.
Gintimpla ni Nanay ang bahúg para sa mga sapat.,Mother mixed the pig food for the animals.
Bahúl ang tela sang iya ginbakal nga bayo.,The fabric of the dress she bought is coarse.
Nag-bahún sia tungod sa yab-uk.,He sneezed because of the dust.
I-bá’id ang binangon sa bintana nga bato.,Sharpen the bolo on the whetstone.
Ginbá’is nya si Rubén.,He argued with Ruben.
Naubusan sang bála ang iya pusil.,His gun ran out of bullets.
"Ma’éstro si Pédro, índi’ balá?","Pedro is a teacher, isn’t he?"
Nagbalábag ang áwto sa kálye.,The car blocked the street.
Ginbaláka sya sang hitabú.,He felt concerned about the incident.
Gin-bál’ag niya ang sidsid sang tabla para magpino.,He filed the edge of the board to make it smooth.
Ang balágun nagakamang sa kudal.,The vine is crawling on the fence.
Mahumok ang balahíbu sang akon kuring.,My cat's fur is soft.
Nagluto si Nanay sang tinola nga balának.,Mother cooked mullet ginger soup.
Nagbalánse si Juán sa bángku.,Juan balanced himself on top of the bench.
Nakita namon ang matahum nga balangáw pagkatapos sang ulan.,We saw a beautiful rainbow after the rain.
Madamo sing maputi nga balás sa baybayon sang Boracay.,There is a lot of white sand on the beach of Boracay.
Ginabalása ku ang mangá baráha.,I shuffled the cards.
Indi mag-upod sa tawo nga balasúbas ang pamatasan.,Do not go with a person who has inconsiderate manners.
Ano ang ginabatyag mo nga balatí’an sa imo lawas?,What illness are you feeling in your body?
Amo ini ang amon gamay nga baláy sa banwa.,This is our small house in the town.
Naghimo ang mga bata sang bálaybálay sa idalum sang kahoy.,The children made a playhouse under the tree.
Nagsulat sia sang isa ka baláybay para sa iya pinalangga.,He wrote a poem for his beloved.
Ginkay-o sang tubero ang guba nga balbolá.,The plumber fixed the broken valve.
May bálda ang akon likod tungod sa bug-at nga dala.,My back has soreness due to the heavy load.
Punuon mo sing tubig ang báldi.,Fill the bucket with water.
Masulhay maglakat sa baldúsa sang balay.,It is comfortable to walk on the concrete floor of the house.
Bále ánum ka písos ang ímu útang.,Your debt amounts to six pesos.
Puno sang bálhas ang iya bayo tungod sa init.,His clothes are full of perspiration because of the heat.
Gusto niya mag-bálhin sang iya puluy-an sa pikas nga kalsada.,He wants to move his residence to the other street.
May balí’ ang iya tul-an sa tiil tungod sa aksidente.,He has a fracture in his leg bone because of the accident.
Wala sia nagbaton sang bisan ano nga balíbad.,He did not accept any excuse.
Ma-balík kami sa amon probinsya sa sunod nga semana.,We will return to our province next week.
Masakit ang iya balikawáng kon sia nagalakat.,Her hip hurts when she walks.
Nagabalikíd si Noél pára makíta’ nya ang dalága nga matahúm.,Noel looked back so that he could see the beautiful lady.
Madamo sia sing balígya’ nga prutas sa merkado.,She has many fruit goods for sale at the market.
Nagbalískad ang papél sa hángin.,The paper overturned in the wind.
Ginbalíswa’ ni Joselíto ang pláto.,Joselito turned the plate over.
Maayong balíta’ ang akon nabatian kaina sang aga.,I heard good news earlier this morning.
Ang bálu nga babayi nagpadayon sa pag-atipan sa iya mga anak.,The widow continued to care for her children.
Huguta ang balú’ sang pisi para indi mahubad.,Tighten the knot of the rope so it won't come undone.
Matas ang mga balúd tungod sa mabaskog nga hangin.,The ocean waves are high because of the strong wind.
Nagpreparar kami sang amon bálun para sa pagbiyahe.,We prepared our provisions for the trip.
I-hulog ang imo balúta sa sulod sang kahon.,Drop your ballot inside the box.
Nagsakay kami sa bálsa pakadto sa pikas nga pangpang.,We rode on a raft to the other bank.
Ang maayo nga buhat may maayo man nga bálus.,A good deed also has a good reward.
Ginbalúskay ku ang mangá báyu sa pagpangíta’ sang ákun síngsing.,I rummaged through my clothes to look for my ring.
Namit gid magkaon sang balút kon gabii.,It is very delicious to eat balut at night.
May nakita sila nga daku nga balyéna sa tunga sang dagat.,They saw a large whale in the middle of the sea.
Ang iya bána naga-obra sa abroad.,Her husband is working abroad.
Nakita namon ang baná’ag sang adlaw sa sidlangan.,We saw the rays of the sun in the east.
Nag-agi kami sa makidit nga banás pakadto sa uma.,We went through a narrow path towards the farm.
Ang bánda sang musiko nagatukar sa plaza.,The music band is playing in the plaza.
Ipaplastar ang niluto nga manok sa bandehádo.,Arrange the cooked chicken on the platter.
Gin-kay-o ang bandéra sang Pilipinas sa atubangan sang eskwelahan.,The Philippine flag was set up in front of the school.
Nabatian namon ang bándo sang gobyerno sa radyo.,We heard the government announcement on the radio.
Nabánhaw si Krísto.,Christ resurrected.
Mahumok tulugan ang baníg nga human sa pandan.,The mat made of pandan is soft to sleep on.
Baníhut gid ang bata nga indi magpati sa iya nanay.,The child who won't listen to his mother is very stubborn.
Nagbansúli’ akú.,I tumbled over.
"Sa akon bánta’, maga-ulan gid karon sa hapon.","In my opinion, it will really rain this afternoon."
Ginbántal ku ang ákun mangá báyu’.,I wrapped my clothes together.
Ang bantála’ parte sa bagyo importante sa tanan.,The broadcast regarding the typhoon is important to everyone.
May bántay sa pirtahan sang banko.,There is a guard at the bank door.
Ginbánting ku ang kawáyan.,I fastened the bamboos together.
Bántug sia tungod sa iya kahanas sa pagpinta.,He is famous for his skill in painting.
Malapit lang ang amon bánwa sa siudad.,Our town is just near the city.
Malimpyo gid ang bányo sa sulod sang balay.,The bathroom inside the house is very clean.
Ang tubig sa sulod sang bangá’ matugnaw gid.,The water inside the earthen jar is very cold.
