Hiligaynon Phrase,English Phrase
Mag-obra ka sang juice halin sa kalamánsi’.,Make some juice from the calamansi.
Butangi sang kalámay ang akon kape.,Put some sugar in my coffee.
Ginkalámbre akú kagáb’i.,I had a chill last night.
Kinahanglan naton mag-preparar para sa mga kalamidád.,We need to prepare for calamities.
May ára’ gid pírme nga katalágman.,Danger is always there.
Nagaluto si Nanay sa kalán nga de-uling.,Mother is cooking on a charcoal stove.
Nagkálas ang mangá dáhun.,The leaves rustled.
Gingamit niya ang kalaykáy sa paglimpyo sang gwa.,He used the rake to clean the outside.
Gin-kálkal nila ang mga tul-an sa niche.,They dug out the bones from the niche.
Punuon mo sing tubig ang kaldéro.,Fill the kettle with water.
Tan-awa ang petsa sa kalendáryo.,Look at the date on the calendar.
Nagsakay kami sa kalésa palibot sa banwa.,We rode a carriage around the town.
Ginkáli ku ang kamúti.,I dug up some sweet potatoes.
Daku gid ang sining kalibútan nga aton ginapuy-an.,This world we live in is very large.
Maitum ang iya kalimutáw.,His eyeball is black.
Ginkalís sang tindéra ang bugás sa gantángan.,The salesgirl skimmed the rice in the container.
Nagkalít si Manuél nga mamásyar kay walá’ pa trabáho.,"Manuel took a stroll, meanwhile he had no work to do."
,
Kahulúya’ sang natabú’.,What happened was really a shame.
Ginkálut ku ang ákun úlu.,I scratched my head.
Mangayo kita sang kalú’uy sa Ginuo.,Let's ask for mercy from the Lord.
Malapad ang kálye nga naga-agi sa amon balay.,The street passing by our house is wide.
Mahumok ang káma sa sulod sang kwarto.,The bed inside the room is soft.
Ginbutang nila ang humay sa sulod sang kamálig.,They put the rice inside the barn.
Namit kaunon ang kamánsi kon luto na.,Breadfruit is delicious to eat when it is cooked.
Ang bata nag-umpisa na kámang sa salog.,The baby has started to crawl on the floor.
Napanimshuan namon ang humot sang kamángyan.,We smelled the fragrance of the incense.
Malimpyo ang amon kamaróte sa sulod sang barko.,Our cabin inside the ship is clean.
Malaba ang kamásun sang kuring.,The cat's claw is long.
Ang kamatáyan ay indi malikawan sang tanan.,Death cannot be avoided by anyone.
Nagbakal ako sang pula nga kamátis sa merkado.,I bought red tomatoes at the market.
Kámbang ang duag sang amon ido.,Our dog's color is spotted.
Ma-kámbyu kami sang amon mga bayo.,We will exchange our clothes.
Ma-abot kamí sa inyo balay sa bwas.,We (not including you) will arrive at your house tomorrow.
Nagsuksok sia sang bag-o nga kamisadéntro.,He wore a new men's shirt.
Puti ang kamiséta nga ginsuksok ni Pedro.,The undershirt Pedro wore is white.
Kinahanglan ni Nanay sang bag-o nga kamisún.,Mother needs a new slip.
Ginkamlut ku ang isda.,I touched the fish.
Matas ang kampanáryu sang simbahan.,The church belfry is tall.
Nag-umpisa na ang kampánya para sa eleksyon.,The campaign for the election has started.
Nagkámpi ang América sa South Vietnám.,
Nagpabilin ang mga militar sa sulod sang kámpo.,The military stayed inside the camp.
Sia ang nagdaog nga kampyón sa boksing.,He won as the champion in boxing.
Ma-abot na kamú diri sa amon?,Will you (all) arrive here to us soon?
Gin-pangan-an niya ang iya kamumú’u.,She trimmed her finger nails.
Kamústa na kamo sang inyo pamilya?,How are you and your family?
I-taas ang inyo mga kamút kon may pamangkot kamo.,Raise your hands if you have questions.
kamútingkáhuy n cassava.,
Kinahanglan limpyohan ang kanál para indi magbaha.,The canal needs to be cleaned so it won't flood.
Nagkánay na ang hángin.,The winds abated already.
May daku nga kandádu ang pirtahan sang bodega.,The warehouse door has a big padlock.
Naglakát sya sa kánday Cármen kag Jóse.,He walked towards Carmen and Jose.
,
Sin-o ang imo pilion nga kandidáto?,Who is the candidate you will choose?
Nagdagta kami sang kandíla’ sa sulod sang simbahan.,We lit a candle inside the church.
Ang kánding nagakaon sang hilamon sa uma.,The goat is eating grass on the farm.
Nagkándus akú sang adóbo sa kaldéro.,I scooped out some adobo from the pot.
Manami ang kánta nga gin-amba niya.,The song he sang was nice.
Ang kantéro ang naga-obra sang amon kudal.,The mason is building our fence.
Daku ang kantidád sang kwarta nga nadula sa iya.,The amount of money he lost was large.
Magkitaay kita sa kánto sang sining kalsada.,Let's meet at the street corner of this road.
Nakakita kami sang mga kanú’ sa mall.,We saw some Americans at the mall.
Pila ka plato sang kán’un ang imo makaon?,How many plates of cooked rice can you eat?
Nakita namon ang daan nga kányon sa fort.,We saw the old cannon at the fort.
Nagkapákapá silá pag’abút sang Presidénte.,They were excitedly confused when the President arrived.
Ang kapatás ang nagasugo sa mga obra.,The foreman is the one giving orders to the workers.
Matam-is ang hinog nga kapáyas.,The ripe papaya is sweet.
Nangápkap akú sa dulúm.,I gnoped my way in the dark.
Kápid ang iya mga anak nga lalaki.,Her sons are twins.
Nagpangamuyo kami sa sulod sang kapílya.,We prayed inside the chapel.
Kapín sa isa ka gatos ang mga bisita.,There were more than one hundred guests.
Kinahanglan naton sang daku nga kapitál para sa negosyo.,We need a large capital for the business.
Ang kapitán sang barangay nagpatawag sang miting.,The barangay captain called for a meeting.
Nagkaon kami sang panyaga sa kapitérya.,We ate lunch in the cafeteria.
Matahum ang building sang kapitólyo sa siudad.,The capitol building in the city is beautiful.
Ano nga kapituló na kita sa aton libro?,What chapter are we on in our book?
Madamo sia sing mga kaprítsu sa iya lawas.,He has many vices in his body.
I-kapún nila ang baka bwas.,They will castrate the cow tomorrow.
Ano ang kapuslánan sang sining gamit?,What is the usefulness of this item?
Nagkapút akú sang kutsílyo.,I clutched a knife.
Nagsuksok sia sang kapúti kay nagaulan.,He wore a raincoat because it was raining.
Nabatyagan ko ang kápuy pagkatapos sang obra.,I felt tiredness after work.
Nagkápyut akú sa sangá.,I held onto the branch.
Nagkarábkab ang kaláyu.,The fire burst into flame.
Ang kárbaw nagabulig sa pag-arado sang uma.,The water buffalo helps in plowing the farm.
Sin-o ang nagdaog sa karéra sang salakyan?,Who won the car race?
Bug-at ang kárga sang truck.,The cargo of the truck is heavy.
Nagkarí ikáw kahápun.,You came here yesterday.
Naghatag sila sang karidád sa mga pobre.,They gave charity to the poor.
Nagsakay kami sa karitéla pakadto sa merkado.,We rode the horse and buggy to the market.
Gingamit niya ang karitún sa pagbaligya sang isda.,He used the cart to sell fish.
Nagbakal si Nanay sang kárne sang baboy.,Mother bought some pork meat.
Madamo sing mga karnéro sa uma sang New Zealand.,There are many sheep on the farms of New Zealand.
Maayo ang karpentéro nga nag-obra sang amon balay.,The carpenter who built our house is good.
Malapad na ang karsáda pakadto sa bukid.,The road going to the mountain is already wide.
Ang kartéro naghatag sang sulat sa amon.,The mailman gave the letter to us.
I-sulod ang mga gamit sa kárton.,Put the things in the carton.
Ma-abot ako sa inyo balay karún sa hapon.,I will arrive at your house later this afternoon.
Ginkarús akú sang kuríng.,The cat scratched me.
Karúskarús ang iya agi gani indi ko mabasa.,His handwriting is non-legible because it was written hurriedly.
Nabatyagan niya ang daku nga kasákit sa iya dughan.,He felt great suffering in his chest.
Malipayon ang selebrasyon sang kasál.,The wedding celebration was happy.
Didto kami sa plaza kasán’u lang.,We were at the plaza just a while ago.
Kanami sang mga kasangkápan sa sulod sang inyo balay.,The furniture inside your house is nice.
May bag-o kami nga kaséra sa amon balay.,We have a new boarder at our house.
I-sulod ang sabaw sa kaseróla.,Put the soup in the cooking pot.
Maayo ang amon pakig-upod sa amon mga kasilíngan.,Our relationship with our neighbors is good.
Malimpyo ang kasílyas sa sining mall.,The toilet in this mall is clean.
Nakita ko ang akon kasimánwa sa Manila.,I saw my townmate in Manila.
May káso sia sa korte parte sa duta.,He has a legal case in court regarding the land.
Kasualidád gid nga matabo ina sa subong.,That is truly impossible to happen right now.
Malaba ang kasúdlan sang sapat nga amon gin-ihaw.,The intestines of the animal we slaughtered are long.
Nagpirma kami sang kasugtánan sa amon obra.,We signed an agreement for our work.
Sunura ang mga kasugu’án sang aton gobyerno.,Follow the orders of our government.
Indi kamo mag-katá’katá’ parte sa inyo isig-katawo.,Do not gossip about your fellow human beings.
Mag-andam kamo sa mga katalágman sa dalan.,Be careful of the dangers on the road.
Katalanghága’ ang iya pag-ayo sa balatian.,His recovery from the illness was unbelievable.
Isa ako ka katápu’ sang sining grupo.,I am a member of this group.
May katáru sia gani wala sia nakaeskwela.,"He has a cold, so he wasn't able to go to school."
Nagapati ka bala sa mga katáw?,Do you believe in mermaids?
Katolikó ang amon relihiyon sa pamilya.,Our family's religion is Catholic.
Katórse ka tuig na ang akon anak.,My child is already fourteen years old.
Mahumok ang kátre nga amon ginatulu-gan.,The bed we are sleeping on is soft.
Ang mga katsíla’ nagpabilin sa Pilipinas sang madugay.,The Spaniards stayed in the Philippines for a long time.
Katúl gid ang akon panit tungod sa kagat sang lamok.,My skin is very itchy due to mosquito bites.
Mahanghang ang katúmbal nga ginbutang sa sud-an.,The pepper put in the dish is spicy.
Ang adlaw nagatunod sa dapit nga katúndan.,The sun sets in the west.
Obligasyon naton nga himoon ang aton katungdánan.,It is our obligation to do our duty.
Kinahanglan naton amligan ang aton ka’ugalíngun.,We need to protect our own selves.
Ginpaká’un ku ang mangá báta’.,I fed the children.
Ang kalip’után sang báyu’ni Dína ginbádlung sang ilúy níya.,The shortness of Dina’s dress was commented on by her mother.
Nadakpan sang mga pulis ang káwat.,The police caught the thief.
Nagkáway ang bandéra.,The flag waved on.
Ang amon balay human sa kawáyan.,Our house is made of bamboo.
I-sulod ang isda sa káw’it.,Put the fish on the hook.
Indí’ akú makakádtu kay masakít akú.,I cannot go because I’m sick.
Naglakát ang báta’ sa kay Pédro.,The child went to Pedro.
Ginkayába ku ang trabáho.,I worked hurriedly.
Mas matas si Pedro káy sa kay Jose.,Pedro is taller than Jose.
Kay sín’u ini nga bag nga nabilin sa silya?,Whose bag is this left on the chair?
Kayumánggi’ ang complexion sang mga Pinoy.,The complexion of Filipinos is tan.
Mabudlay ang leksyon sa kemiká.,The lesson in chemistry is difficult.
Ang kemikó ang naga-usisa sang mga bulong.,The chemist is the one examining the medicines.
May kerída ang bana sang iya amiga.,Her friend's husband has a mistress.
Nagbakal ako sang tinapay nga may késo.,I bought bread with cheese.
Nagkibú’ ang dúghan ku.,My heart throbbed.
Masakit ang akon kíbul kon nagalakat ako.,My corn hurts when I walk.
Ginkibún akú sang mangá píspis.,The birds surrounded me.
Ginkibút ni Mário si Rósa.,Mario startled Rosa.
Ginkídkid ku ang késo.,I sliced the cheese.
Nakigbátuk si Mário kay Davíd.,Mario debated with David.
Nabatyagan ko ang kigás sang duta tungod sa init.,I felt the dryness of the soil due to the heat.
Ginkíhad ku ang kamátis.,I sliced the tomato.
Nagkílag kamí sa dálan.,We looked about curiously on the way.
Madamo ako sing kilála sa sining banwa.,I have many acquaintances in this town.
Nakulbaan ang bata sa baskog nga kilát.,The child was scared of the strong lightning.
Matahum ang iya kílay.,Her eyebrows are beautiful.
Magpungko ka sa akon kílid.,Sit beside me.
Pila ka kílo nga bugas ang imo baklon?,How many kilograms of rice will you buy?
Pila ka kilométro ang distansya pakadto sa siudad?,How many kilometers is the distance to the city?
Gingamit niya ang kímpit para sa iya buhok.,She used the hair clip for her hair.
Importante ang kina’ádman sa aton kabuhi.,Knowledge is important in our lives.
Nadúla ang mangá kina’adman nilá.,Their properties were lost.
Malipayon ang amon kinabúhi’ sa probinsya.,Our life in the province is happy.
Ginkinahánglan ku ang búlig nilá.,I demanded for their help.
Malipayon ang amon kinabúhi’ sa probinsya.,Our life in the province is happy.
Kínse na ang grado sang bata sa math.,The child's grade in math is fifteen.
Butangi sang kíntsay ang sopas.,Put some celery in the soup.
Kínut sia sa pag-gasto sang iya kwarta.,He is thrifty in spending his money.
Gingamit nila ang kíngki sang nadula ang kuryente.,They used the oil lamp when the electricity was gone.
I-kíput ang pirtahan sang kwarto.,Shut the door of the room.
May kiráb nga nakita sa tunga sang langit.,There was a flash seen in the middle of the sky.
Madasig ang kisáp sang iya mata.,The blinking of his eyes is fast.
Ginkískis nilá ang balahíbo sang bábuy nga litsunún.,They scraped off the fur of the pig to be roasted.
Ma-abot kitá sa aton destinasyon sa dili madugay.,We (including you) will arrive at our destination soon.
Ginpangíta’ ku ang arítus nga nadúla’.,I looked for my lost earrings.
Kitíd gid ang kalsada pakadto sa uma.,The road to the farm is very narrow.
Ginki’úm ku ang ákun bibíg.,I pursed my lips.
Ma-umpisa na ang amon kláse sa alas otso.,Our class will start at eight o'clock.
,
Nagkadto kami sa kliniká para magpacheck-up.,We went to the clinic for a check-up.
Nagkóbra akú sang swéldo.,I collected my salary.
Bag-o ang kobrekáma nga gin-gamit ni Nanay.,The bedspread Mother used is new.
Dal-a ang imo kodák para makakuha kita sang litrato.,Bring your camera so we can take photos.
Naghatag kami sang amon kolékta sa simbahan.,We gave our collection at the church.
Nagaeskwela na sia sa koléhiyo sa siudad.,He is already studying in a college in the city.
Madamo ang nagkasakit sang kolerá sang una.,Many people got sick with cholera before.
Bulawan ang kolíntas nga ginregalo sa iya.,The necklace given to her as a gift is gold.
Ano ang paborito mo nga kolór?,What is your favorite color?
Ang komersyánte nagabaligya sang tela sa banwa.,The businessman is selling fabric in the town.
Nagpanyaga kami sa sulod sang komidór.,We ate lunch inside the dining room.
Nagkom-pányar akú kay Rosíta.,I accompanied Rosita’s (song) on the piano.
Maayo ang iya kondisyón sa paghampang sang basketball.,He is in good condition for playing basketball.
Mahumok ang balahibo sang koného.,The rabbit's fur is soft.
Nagkadto kami sa konsehál para magpangayo sang bulig.,We went to the councilman to ask for help.
Ang konsého nagpasar sang bag-o nga laye.,The municipal council passed a new law.
Matambong kami sa konsyérto sa cultural center.,We will attend the orchestra concert at the cultural center.
Sin-o ang imo kóntra sa hampang sang chess?,Who is your opponent in the chess game?
Nagpirma kami sang kontráto sa amon bag-o nga obra.,We signed a contract for our new work.
Ang kalsada human sa kongkréta.,The road is made of concrete.
Ang kongresísta nagbisita sa amon barangay.,The congressman visited our barangay.
Ang kongréso ang naga-obra sang mga pungsudnon nga laye.,The congress creates the national laws.
Kinahanglan ko sang isa ka kópya sang imo birth certificate.,I need one copy of your birth certificate.
,
Nagkadto ako sa koréo para magpadala sang sulat.,I went to the post office to send a letter.
Manami ang tingog sang kóro sa simbahan.,The sound of the church choir is beautiful.
Matahum ang koróna sang reyna.,The queen's crown is beautiful.
Nagsuksok sia sang korpínyo sa idalom sang iya bayo.,She wore a corset under her dress.
Ano ang kórte sang sining lamesa?,What is the shape of this table?
Importante ang pagpakita sang kortesíya sa mga malatun.,Showing courtesy to the elderly is important.
Masanag ang kortína nga ginsab-it sa bintana.,The curtain hung on the window is bright.
Nadula ang koryénte tungod sang bagyo.,The electricity was gone due to the typhoon.
Nagkostúra si María sa báyu’ ni Nánay.,Maria sewed Mother’s dress.
Nagbakal si Tatay sang bag-o nga kótse.,Father bought a new car.
,
Nadakpan na ang kriminál nga nagpangawat.,The criminal who stole has been caught.
Human sa kristál ang iya paborito nga baso.,Her favorite glass is made of crystal.
Nagatuo kami kay Jesu-Krísto.,We believe in Jesus Christ.
Madamo sing mga kristyáno sa Pilipinas.,There are many Christians in the Philippines.
(short form of nákun).,
Nagkubákubá ang dúghan ku.,My heart throbbed.
Nagkúbay ang mangá tawu.,The people lined up.
Nagabulig kami sa mga tawo nga kubús.,We help the poor people.
Limpyo gid ang iya mga kukú.,Her finger nails are very clean.
Nagkú’ku’ si Lucille.,Lucille stooped down.
Malataas ang kudál sang amon balay.,The fence of our house is high.
Ginkúdkud ku ang lubí sa kudkurán.,I grated the coconut with the grater.
Gingamit ni Lola ang kudkurán para sa lubi.,Grandma used the grater for the coconut.
Nag-obra sia sang kúdlit sa dingding.,He made a mark on the wall.
Ginkugá’ ku ang idú’.,I choked the dog.
Puno sang kúgmat ang iya mga mata.,His eyes were full of terror.
Ginkúgus ku ang báta’.,I carried the child.
Ma-kúha’ ako sang tubig sa gripo.,I will get water from the faucet.
Ginkúhit ku si María.,I nudged Maria.
Gamit sang kulá para magtapik ang papel.,Use glue so the paper sticks.
Kulákig ang iya lawas tungod sa gutom.,His body is emaciated due to hunger.
Limpyohi ang kulámug sa imo ilong.,Clean the dried mucus in your nose.
Kúlang ang bayad nga ginhatag mo sa akon.,The payment you gave me is incomplete.
Nabatyagan ko ang kúlba’ antes ang amon exam.,I felt nervousness before our exam.
Kúli’ sia mag-hulag tungod sa iya katuyuhon.,He is slow to move because of his sleepiness.
Sia ang nag-abot nga kulíhut sa karera.,He was the last to arrive in the race.
Nagluto si Nanay sang kan-on sa kúlun.,Mother cooked rice in a clay pot.
Ang mangkok ay naka-kulúb sa lamesa.,The bowl is inverted on the table.
Mas namit ang luto sa kúlun.,Cooking in a clay pot is more delicious.
Ginkulúng ku ang píspis.,I caged the bird.
Kulyápis gid ang sapat tungod wala ini sang pagkaon.,The animal is very emaciated because it has no food.
Nasalapay ang akon kumalágku’ sa pirtahan.,My thumb got caught in the door.
Sia ang akon kumbúya sa amon negosyo.,He is my partner in our business.
Maayo ang dalagan sang amon kumbuyahán.,The run of our partnership is good.
Maayo ang pagtratar sang kumpaníya sa ila mga obra.,The company treats its workers well.
Ma-bisita ang akon kumpáre sa amon balay.,My comrade (godfather of my child) will visit our house.
Nagkadto kami sa simbahan para mag-kumpisár.,We went to the church for confession.
Nagkúmud si Maria sa kwárto kay walá’ sya pagbákli sang sapátus.,Maria sulked in the room because no one bought her a new pair of shoes.
"Kun indí’ akú gina-kápuy, makádtu táni’ akú.",I would go if I were not feeling so tired.
Kún kís’a lang kami nagakitaay sang akon pamilya.,We see my family only occasionally.
Kúndi’ malakat na lang kita kay wala man sia diri.,We might as well go because he is not here anyway.
Gústo ku kuntáni’ ma’upúd.,I would like to go along (if possible).
Makádtu sya kunú sa Pampánga.,He said he will go to Pampanga.
Nag-kunúl ang suba tungod sa sobra nga init.,The river dried up because of the extreme heat.
Nagsuksok sia sang malaba nga kunúp sang una.,He wore a long cloak in the old days.
Kunút na ang panit ni Lolo tungod sa iya edad.,Grandpa's skin is already wrinkled due to his age.
Nakabatyag ako sang kúnyag tungod sa katugnaw.,I felt a cold chill because of the coldness.
Hatagi sang madata nga kúpkup ang imo iloy.,Give your mother a tight embrace.
Nagkupú ang súksuk sa díngding.,The lizard clinged to the wall.
Ang kúra sang amon parokya nagmisa kaina.,The pastor of our parish celebrated mass earlier.
Mag-andam ka sa pagmaneho sa kúrba sang dalan.,Be careful driving at the curve of the road.
May nagabungguay nga salakyan sa kurbáda.,There is a vehicle collision at the street corner.
Nagsuksok sia sang itum nga kurbáta sa iya polo.,He wore a black necktie with his shirt.
Kúri’ sia maglakat tungod sang iya edad.,He is slow to walk because of his age.
Nagpakuribúng akú sa kwárto.,I isolated myself in the room.
Kurinút ang iya bayo kay wala ini naplantsa.,Her dress is creased because it wasn't ironed.
May pito ako ka mga kuríng sa amon balay.,I have seven cats in our house.
Nakita ko ang kurisúng sa iya guya.,I saw the frown on his face.
erasesa ang kúrit nga ara sa papel.,Erase the pencil mark that is on the paper.
Nagkúrug akú sa katúgnaw.,I shivered from the cold.
Nagkusámkusám akú sa kusína.,I tasted the food in the kitchen.
Nagkúskus akú sang lubí.,I scraped the coconut from the nut.
Nag-ayo sia sang kúsi’ nga tinapay.,He asked for a small piece of bread.
Malapad ang kusína sa amon bag-o nga balay.,The kitchen in our new house is wide.
Maayo gid ang amon kusinéro sa pagluto.,Our cook is very good at cooking.
Nagkusípad kamí sang ma’ís.,We picked corn grains.
Kusúg gid sia mag-obra sa uma.,He is very strong at working on the farm.
Ang kúta’ sang mga kastila ara pa sa siudad.,The Spanish fort is still in the city.
I-kutáwkutáw ang gatas sa mainit nga tubig.,Mix the milk in the hot water.
May daku nga kútkut sa tunga sang dalan.,There is a big hole in the ground in the middle of the road.
Maluoy ako sa gamay nga kutíng.,I feel pity for the small kitten.
Nagkutíngkúting ánay sya sa gitára bágo magkánta.,"He strummed the guitar first, before he started his song."
Matahum ang kútis sang dalaga.,The young lady has a beautiful skin complexion.
Pila ka kutsára sang asukar ang imo gusto?,How many tablespoons of sugar do you want?
Gamita ang kutsaríta sa pagkutaw sang kape.,Use the teaspoon to stir the coffee.
Ang kutséro ang nagagiya sang kalesa.,The coachman is the one guiding the carriage.
Matarom ang kutsílyo nga gingamit ko.,The knife I used is sharp.
Indi ka magpati sa mga kútsukútsu.,Do not believe the rumors.
Mahumok ang amon bag-o nga kutsún.,Our new mattress is soft.
Maghulat ka diri kútub mag-abot ako.,Wait here until I arrive.
Nagkutúl akú sang mangá rosál sa hárdin.,I picked some gardenias from the garden.
Ginkútut sang búyug ang báta’.,The bee stung the child.
Nagkú’ub akú sa lamésa.,I hid my head under the table.
Gin-kú’ut niya ang iya kwarta sa sulod sang bag.,He fished out his money from inside the bag.
Nagkuyámpad silá sa plása.,They ran to the plaza.
,
Sulat ka sang imo ngalan sa kwadérno.,Write your name in the notebook.
Ginpasulod nila ang kabayo sa sulod sang kwádra.,They put the horse inside the stable.
Matahum ang litrato sa sulod sang kwádro.,The photo inside the frame is beautiful.
Nagagamit sang kwáku si Lolo sa pagpanigarilyo.,Grandpa uses a pipe for smoking.
Diin na gani ang kwán nga ginbakal ko?,Where is that whatchamacallit I bought?
Kwarénta na ka tuig ang akon tiyo.,My uncle is already forty years old.
Pila ang imo kwárta sa imo pitaka?,How much money do you have in your wallet?
Nagahampang ang mga bata sang kwártakwárta.,The children are playing with play money.
Limpyo gid ang amon kwárto sa sulod sang balay.,Our room inside the house is very clean.
Kwátro na ang oras sa aton relo.,The time on our watch is already four o'clock.
Madulom sa sulod sang kwéba.,It is dark inside the cave.
Puti gid ang kwélyo sang iya polo.,The collar of his shirt is very white.
I-check ang imo kwénta sa banko.,Check your account balance at the bank.
Nabugto ang kwérdas sang akon gitara.,The string of my guitar snapped.
Masanag ang mga kwítis sa langit sang New Year.,The fireworks are bright in the sky during New Year.
Dá’an na ang sining sapatos nga akon ginsuksok.,These shoes I'm wearing are already old.
Nakita namon ang daku nga dabádabá sang kalayo.,We saw the big blaze of the fire.
Nag-dábdab ang kalayo sa tunga sang kakahuyan.,The fire flared in the middle of the woods.
Nagdábuk akú sang hilamún.,I ignited the grass.
May gamay nga dabúdabú sang ulan kaina sang aga.,There was a slight drizzle of rain this morning.
Malapad ang dalan sa sulod sang dakbánwa.,The road inside the city is wide.
Dakú’ ang balay sang amon silingan.,Our neighbor's house is big.
Nagdakúp silá sang ísda’.,They caught a fish.
Madamo sing dagámi pagkatapos sang ani.,There is a lot of hay after the harvest.
Malapad kag asul ang dágat.,The sea is wide and blue.
Nabatyagan niya ang dagát samtang ara sa barko.,He felt seasickness while on the ship.
Dagáya’ ang bunga sang mga kahoy sa amon uma.,The fruits of the trees on our farm are plentiful.
May dágdag ini?,Do you give extra for this?
Gintagaan niya ako sang dagpi’ sa abaga.,He gave me a tap on the shoulder.
Gindágsa’ ang káhuy sa báybay.,The tree was washed ashore on the beach.
May dágta’ ang akon bayo halin sa saging.,My clothes have a stain from the banana.
Gamit sang dagum para matu-id ang guba nga bayo.,Use a needle to fix the broken dress.
Nagdagúsu’ ang mangá táwu sa aksidénte.,The people crowded around the scene of the accident.
Nakulbaan ang bata sa baskog nga dagu’ub.,The child was scared of the loud thunder.
Matahum ang dágway sang dalaga.,The young lady's facial expression is beautiful.
Gin-dahú’ ko ang sulat halin sa akon abyan.,I received the letter from my friend.
Mataas ang amon dáhúm sa sining proyekto.,Our anticipation for this project is high.
Berde ang mga dáhun sang kahoy.,The leaves of the tree are green.
Manami pamatian ang mga da’ígun sa bulan sang Disyembre.,Christmas carols are nice to hear in the month of December.
Ma-dalá ako sang pagkaon para sa aton panyaga.,I will bring food for our lunch.
Dalág ang duag sang iya ginbakal nga bayo.,The color of the dress she bought is yellow.
Maayo nga dalága ang amon silingan.,Our neighbor is a good unmarried girl.
Madasig sia mag-dalágan sa dalan.,He runs fast on the road.