Hiligaynon,English
Halá ka!,See what you did!
Naghálab ang báka.,The cow pastured.
Mabatian ang iya halákhak sa bilog nga balay.,Her laughter can be heard throughout the house.
Ining kanta ay ang akon hálad para sa inyo.,This song is my offering for you.
Naghaláy ang labandéra sang mangá linábhan nya.,The laundrywoman hung her wash.
Ginhál’id ku ánay ang mangá papél sa higád kay ári na ang bisíta.,I hurriedly put the papers aside because the visitor is already here.
Human sa matig-a nga kahoy ang halígi sang balay.,The pillar of the house is made of hard wood.
Maghatag ka sang halimbáwa’ sang isa ka maayo nga buhat.,Give an example of a good deed.
Naghalín akú sa opisína.,I came from the office.
Naghálin kamí sang baláy.,We moved to another house.
Yari na sia sa ikatatlo nga halíntang sang iya pagtuon.,He is already at the third grade of his studies.
Ginhalítan sang úlud ang tanúm.,The worm has damaged the plant.
Namit ang halíya nga hinimo sang akon iloy.,The coconut jelly made by my mother is delicious.
Gamita ang hál’u sa pag-durog sang mga panamas.,Use the pestle to crush the spices.
Ginhálu’ ku ang mangá útan.,I mixed the vegetables together.
Nakakuha sila sang daku nga halu’án sa punong.,They caught a large freshwater fish in the pond.
Naghatag sia sang halúk sa iya lola.,He gave a kiss to his grandmother.
Ginhalúnhun sang laláki ang isá ka ságing.,The man swallowed one whole banana.
I-hálung mo ining baso kay mabuong ini.,Handle this glass with care because it might break.
Ginhámak ni Márcos ang gobernadór.,Marcos scorned the governor.
Maayo ang iya hámbal sa publiko.,His public speech is good.
Naghámbuy si Lóurdes sa abága ku.,Lourdes supported herself on my shoulder.
Ginhámpak ang sutíl nga báta’ sang íya amáy.,The naughty child was beaten by his father.
Malipayon ang mga bata nga naga-hámpang.,The children are happy while playing.
Ano ang paborito mo nga hampángan?,What is your favorite toy?
Ibutang ang hámpul sa iya pilas.,Put the plaster on his wound.
Nahámtang ang baláy sa ma’ayung lugár.,The house is in an ideal location.
Nagpakita sia sang hámtung sa iya mga desisyon.,He showed maturity in his decisions.
"hamút adj /ma-/ sweet smelling, fragrant, odorous.",
Nahumú’ut ang Lólo sa íya mangá apú.,The Grandfather was pleased with his grandchildren.
Ginhámyang ang patáy sa punerárya.,The body lay in state at the funeral parlor.
Naghánas ang mangá soldádo.,The soldiers drilled.
Naghánda’ silá sang madámu’ nga pagká’un.,They prepared so much food.
Ang akon hándum ay mangin manunudlo.,My ambition is to be a teacher.
Magpahuway kita sa hándung sang kahoy.,Let's rest in the shade of the tree.
Ang iya handuráwan ay puno sang mga handum.,Her daydream is full of wishes.
Gin-hándus niya ang kawayan sa duta.,He thrust the bamboo into the ground.
Nag-haníg ako sang dahon sang saging sa kalaha.,I lined the pan with banana leaves.
Ginhántal ku ang káhuy sa idálum sang baláy.,I piled the wood under the house.
Nahántup ku ang silíng mu.,I understood what you said.
Ang hánut sang hangin ay mabaskog subong.,The lash of the wind is strong now.
Nag-hangád sia sa katahum sang bulan.,He looked up at the beauty of the moon.
Nanghángbas ang hardinéro san hilamún.,The gardener cut the grass.
Ginbaton niya ang hángkat sang iya kontra.,He accepted his opponent's challenge.
Ginhángdu’ ku ang imbitasyón.,I accepted the invitation.
Mabugnaw ang hángin halin sa dagat.,The wind from the sea is cool.
Nahangúp ku ang silíng nya.,I understood what he said.
Naghángus sya pag’abút nya.,He was panting when he arrived.
Naghapá’ ang pári’ sa áltar.,The priest prostrated before the altar.
Ginhapáwan sang tindéro ang bugás.,The salesman skimmed the top of the rice.
Nag-hápay ang mga tanom tungod sa bagyo.,The plants bent low because of the storm.
Isli ang hapi’n sang bata.,Change the baby's diaper.
Ginhápit námun si Ána.,We passed by for Ana.
Ginháplak ku ang dáhun sang ságing sa lamésa.,I put the banana leaf flat on the table.
Ginhaplasán ku sang Vicks ang likúd nya.,I rubbed Vicks vaporub on his back.
Ginháplay ni Cecile ang íya buhúk.,Cecile let her hair hang down her back.
Ginháplik ku ang basá’ nga papél.,I flicked the wet piece of paper.
Gin-háplit sang hangin ang amon payag.,The wind struck our hut.
I-háplus ang bulong sa iya masakit nga lawas.,Rub the medicine on his aching body.
Gin-hápu’ sia pagkatapos sang malaba nga dalagan.,He was exhausted after the long run.
Gusto ko magkadto sa Hapún.,I want to go to Japan.
Maayong hápun sa inyo tanan.,Good afternoon to all of you.
Ang hára ay nagasuksok sang bulawan nga korona.,The queen is wearing a gold crown.
Mabatian ang iya harákhak sa gwa sang kwarto.,His guffaw can be heard outside the room.
May nag-harána sa dalaga kaina sang gab-i.,Someone serenaded the young lady last night.
"harásharás adj harsh in manner, lacking in social refinement.",
Madamo sang matahum nga bulak sa amon hardín.,There are many beautiful flowers in our garden.
Ang hári’ ang nagapamuno sa sining ginharian.,The king rules this kingdom.
Kinahanglan namon sang harína para sa cake.,We need flour for the cake.
Preska ang harúput sang hangin diri sa bukid.,The breeze here in the mountain is fresh.
Gin-harúthut ko lang ang gisi nga bayo.,I just stitched the torn dress in big stitches.
Ang iya hátag ay daku gid nga bulig sa amon.,His gift is a very big help to us.
Ginhatúkhatúk ku sang kutsílyo ang púnu’ sang ságing.,I cut the banana trunk with a knife several times.
Ginhatúd ku ang pakéte nya.,I delivered her package.
Nagháwa’ ang mangá táwu pára maka’ági ang bisíta.,The people cleared the way for the visitor.
May sinturon sia sa iya háwak.,He has a belt on his waistline.
Nagháwan kamí sang hardín.,We cleaned the garden.
Ginháw’as ku ang ma’ínit nga túbig sa dapúg.,I removed the hot water from the stove.
Naghawáthawát ang ginháwa ku magka’ún sang páhu’.,I craved to eat mangoes.
Ginhawíran ku ang ákun amíga.,I asked my friend to stay.
"háyag adj /ma-/ bright, shiny.",
Naga-lupad ang hayáhay sang Pilipinas.,The Philippine flag is flying.
Naghayáw akú sang kamút nga tú’u.,I raised my right hand.
Nag-háyhay sia tungod sa iya kapoy.,He sighed because of his tiredness.
Ginháylu ku si Arnáldo nga magkánta.,I convinced Arnaldo to sing.
Ano ang hayú’ mo sa imo abyan?,What is your pet name for your friend?
Palangga ko ang amon mga háyup sa uma.,I love our animals on the farm.
Nagreport ang mga pulis sa ila héfe.,The police reported to their chief.
Ang henerál ang nagmando sa mga soldado.,The general commanded the soldiers.
Nagbakal sia sang isa ka heneró nga tela.,She bought a bale of cloth.
Gingamit sang nars ang heringílya para sa injection.,The nurse used the syringe for the injection.
Makahibalú kitá sang balíta’ bwas.,We will know the news tomorrow.
Indi na mag-hibí’ kay maabot na si Nanay.,Don't cry anymore because Mother is coming.
Naghibubún’ut si María sang hibí’.,Maria convulsively cried.
Ginhíkap no José ang kamút ni María.,Jose touched the hand of Maria.
Wala sing lugar ang híkaw sa tunga sang mag-abyan.,There is no place for envy between friends.
Naghíkay si Ángela kay José.,Angela despised Jose.
Namit ang inyo híkut para sa amon panyaga.,Your cooked food for our lunch is delicious.
Nagapangamuyo kami para sa hidá’it sang pungsod.,We are praying for the peace of the country.
Nabatyagan ko ang hídlaw sa akon pamilya.,I felt a longing for my family.
"Sa istorya, may daku nga higánte sa bukid.","In the story, there is a big giant on the mountain."
"Sa sining higayún, kinahanglan naton magbinuligay.","In this circumstance, we need to help each other."
Puno sang hígku’ ang imo chura.,Your face is full of dirt.
Naghígda’ akú.,I laid down.
See gúgma.,
Ginhígup ku ang sabáw.,I slurped the soup.
Gamita ang higút para itaming ang kahoy.,Use the rope to tie the wood.
Nanghilabút sya sa indí’ nya probléma.,She meddled in other people’s problems.
Nahílak si María maggástos.,Maria hesitates to spend too much.
Madamo na sing hilamún sa ugsaran.,There is a lot of grass in the yard now.
Naghilám’us si José.,Jose washed his face.
May mataas sia nga hilánat kaina sang aga.,He had a high fever this morning.
Nag-hílap si Maria sang karne para sa nilaga.,Maria cut the meat for the stew.
Nag-hiláy sia sa pader samtang nagahulat.,He leaned on the wall while waiting.
Pula ang hílu nga gingamit sa pagtahi.,The thread used for sewing is red.
Delikado ang hilú’ sang sining bitin.,The poison of this snake is dangerous.
Ginhíl’ub ku ang talámnan.,I finished planting the field.
Nahíl’um ni Nánay ang natabú’.,Mother guessed what happened.
Ang hílut ang nagbulig sa pagbata sang iya iloy.,The midwife helped in her mother's delivery.
Ang himáya’ ay para sa aton Manunubos.,Glory is for our Redeemer.
"hímpit adj perfect, faultless.",
Mag-hímu kita sang plano para sa dason nga semana.,Let's make a plan for next week.
Ang daku nga himúd’us ay nagadala sang kalapusan.,Great effort brings success.
Naghimúlat si Manuél nga makabakál sang áwto.,Manuel strove to buy a car.
Ginhimulbulán ku ang manúk.,I plucked the feathers off the chicken.
Indi maayo ang mag-himulús sa iban.,It is not good to take advantage of others.
Ginhímus sang mutsátsa ang hampángan sang mangá báta’.,The maid put away the toys of the children.
Ginhimutáran ku gid ang báyu nya nga mahál kunú.,I scrutinized the dress she claimed to be very expensive.
Ang iya himutígun ay wala ginbaton sang hukmanan.,His denial was not accepted by the court.
Palangga ko gid ang akon mga hináblus.,I really love my nieces and nephews.
Nag-hinákay kami sang dyip para sa amon outing.,We rented a jeepney for our outing.
Hináli’ sia nga naghalin nga wala sing paathag.,He left abruptly without any explanation.
Naghinámput na ang mangá bisíta.,The guests have arrived.
"I washed my hands in the faucet hínay adv slowly, gently.","adj /ma-/ slow, weak, tender."
I-hínis mo sing maayo ang salog.,Rub the floor well.
Daku ang iya hinúlsul sa iya nahimo nga sala.,His repentance for the sin he committed is great.
Naghinun’ánun akú kay Tátay tungúd sa polítika.,I discussed politics with my father.
Naghingabút si Cárlos sa katapusán nga byáhe sang bus.,Carlos tried to catch the last trip of the bus.
Ginhingagáw ku nga matápus ang trabáho sa Marso.,I tried to finish the work by March.
"Ginhingánlan nilá ang báta’ sang, Elísa.",They called the baby Elisa.
Naghingamú si José nga mangín pangúlu.,Jose strove to become a president.
,
Naghingapús na si Gil sa íya pagtu’ún.,Gil has finished studying already.
Naghingí’ki’ si Lóla.,Lola cleaned her teeth.
Naghingukú si Lucílle.,Lucille manicured her nails.
Sako kami sa hingúyang sang pagkaon para sa piesta.,We are busy with the food preparation for the fiesta.
Naghíngyu’akúng makádtu sa Cebú.,I planned on going to Cebu.
Maayo kami sang akon hípag.,My sister-in-law and I are on good terms.
Gintubuan sia sang hísa sa iya abyan.,She grew envious of her friend.
Naghisáyud akú sang pláno.,I asked about the plan.
Napilas ang iya híta’ sa paghampang.,His thigh was wounded playing.
Ginhitad ku ang papél.,I smoothed out the paper.
Hatagi ako sang isa ka híwa’ nga prutas.,Give me one slice of fruit.
Ginhíwat nya ang íya ka’adláwan.,She celebrated her birthday.
Ang mga bata amo ang amon pinakamahal nga hiyás.,Children are our most precious gems.
Naghíyud si José.,Jose stretched forth.
hu’ád adj counterfeit.,
Ginhúbad ku ang higút.,I untied the string.
May daku nga hubág ang iya tiil.,His foot has a large swelling.
Nag-hubás ang linaw tungod sa init.,The lake dried up due to the heat.
húblas adj naked.,
Indi ka magmaneho kon ikaw ay hubúg.,Do not drive if you are drunk.
Ang hubún sang mga soldado nag-abot na.,The group of soldiers has arrived.
Ninhúk’ab ku ang gúma sang áwto.,I removed the tire of the car.
Naghúkas akú sang mangá aláhas.,I took off my jewelry.
Ang hukúm naghatag sang iya desisyon kaina.,The judge gave his decision earlier.
hugák adj loose.,
Ginhugakúm ni Alfónso ang mánggad sang íya amáy.,Alfonso usurped all the wealth of his father.
Naghúgas akú sang pínggan.,I washed the plates.
Naghúgpa’ ang eropláno.,The airplane landed.
Nagbakal sia sang isa ka húgpung nga rosas.,He bought a bouquet of roses.
Nabatian ko ang húgyaw sang mga bata sa plaza.,I heard the noisy laughter of the kids in the plaza.
Dalidali ang iya húlag kay nagaulan.,His movement is quick because it is raining.
Gusto ko mag-hulám sang imo payong.,I want to borrow your umbrella.
Puno sang húlas ang akon agtang.,My forehead is full of perspiration.
Malawig ang amon hulát sa doktor.,Our waiting for the doctor was long.
Naghulík ang ísda’ sa pa’ún.,The fish snapped at the bait.
Naghúlid silá magkatulúg.,They slept together.
Naghúlip akú sang baníg.,I patched a mat.
Ginhúlug ku ang líbro.,I dropped the book.
Ang mga manok nagbalik na sa ila hulúnan.,The chickens returned to their roost.
"humán adj finished, completed, terminated.",
Matambok ang mga humáy sa talamnan.,The rice plants in the field are healthy.
Nag-húmlad ang mga bulak subong nga aga.,The flowers opened up this morning.
Manami ang humút sang sining habon.,The scent of this soap is nice.
Wala sa akon huná’huná’ nga maghalin diri.,It is not in my thoughts to leave here.
Makapanakop kita sang isda kay hunás na.,We can catch fish because it is low tide already.
Nabatian namon ang matahum nga huní sang pispis.,We heard the beautiful sound of the bird.
Basa ang sagbot tungod sang hún’ug sang aga.,The grass is wet because of the morning dew.
Nag-húnung ang dyip sa kanto sang kalsada.,The jeepney stopped at the corner of the road.
Ibutang ang mga dokumento sa sulod sang hunús.,Put the documents inside the drawer.
"hunúsbu’ adj /ma-/ fretful, whimpering.",
hungúd adj intentional.,
Nakabugtaw sia hinali tungod sa hupay.,He woke up suddenly because of a nightmare.
I-hupút mo ining sekreto naton nga duha.,Keep this secret between the two of us.
Mabaskog ang huragúk ni Tatay kon magtulog.,Father's snore is loud when he sleeps.
Wala ako nagapati sa mga hurínghúring sa banwa.,I don't believe in the rumors in the town.
Gamita ang húrma para magporma ang mamon.,Use the mold so the sponge cake takes shape.
I-sulod ang tinapay sa húrno para maluto.,Put the bread in the oven to cook.
Nagsulat sia sang isa ka dumaan nga hurubatún.,He wrote an old saying.
Ang mga hurúng nadakpan na sang mga pulis.,The bad guys were already caught by the police.
Gamita ang húsay para mangin maayo ang imo buhok.,Use the comb to make your hair look good.
Na-húslu’ ang akon singsing sa idalom sang suba.,My ring slipped off under the river.
Nabatian ko ang iya hutík sa akon dunggan.,I heard his whisper in my ear.
hu’út adj tight.,
Nagpangayo ang manunudlo sang isa ka huwád sang libro.,The teacher asked for a copy of the book.
"húy intj hey, oh.",
Wala gid sia sing huyá’ sa iya nahimo.,He has absolutely no shame in what he did.
Naghúyab si Noél pakádto sa plása.,Noel ran to the plaza.
Sige ang iya húy’ab tungod sa katuyo sang ulan.,He keeps yawning because the rain makes him sleepy.
"húyang adj /ma-/ rickety, shaky.",
Napalong ang kandila tungod sa mabaskog nga huyúp sang hangin.,The candle was blown out by the strong blast of wind.
Magakitaay kami sa sunod nga Hwébes.,We will meet next Thursday.
Ikíhad mu ang kutsílyo sang kárne.,Cut the meat with the knife.
Ihátag mu ang sulát kay Mérle.,Give the letter to Merle.
Tagá’i and táwu sang kwárta.,Give the man some money.
Ibutang ang plorera sa ibábaw sang lamisa.,Put the vase on top of the table.
Ang ibán nga mga estudyante nakapuli na.,The other students have already gone home.
Nag’-ibíd’íbid ang mańghud sa maguláng niya.,The younger child tagged along the older one.
Sa ikaduháng grádo na si Gabriel.,Gabriel is in the second grade now.
Ikasulát ku ang lápis.,I will be able to write with the pencil.
Ikáw gid ang pinakamaayo ko nga abyan.,You are truly my best friend.
Íkit ang pagtanom namon sang mga kahoy.,Our planting of the trees is close together.
Nagahulag ang íkug sang kuring kon ginahaplos.,The cat's tail moves when petted.
Sige ang ikúg’íkug sang ido sa iya amo.,The dog keeps tagging along its master.
Nagtago ang bata sa idálum sang katre.,The child hid underneath the bed.
Tul-id ang mga ídas sa amon talamnan.,The furrows in our field are straight.
Madamo ang idík sang amon gin-sagod nga baboy.,The pig we raised has many piglets.
Nag’ídlab ang kaláyu.,The fire burst into flame.
Nagabantay ang amon idú’ sa gwa sang balay.,Our dog is guarding outside the house.
Igasulát ku ang lápis.,I will write with the pencil.
Nag’ígham akú sa kláse.,I cleared my throat in class.
Kada Domingo naga-kadto kami sa iglésya.,Every Sunday we go to church.
Nag’ígpat ang kíngki.,The lamp emitted a spark.
Sia ang akon igsú’un sa sining kasal.,He is my godchild-relation in this wedding.
Nag’ígu’ ang pitú ka táwu sa íya kótse.,Seven people were accommodated in his car.
Nag’ígut ang motór.,The machine creaked.
Ma-íhaw kami sang preska nga isda para sa panihapon.,We will roast fresh fish for dinner.
Guba ang íhi sang amon salakyan gani indi ini mag-andar.,"The axle bar of our vehicle is broken, so it won't run."
Nanabon sia sa banyo para mag-íhi’.,He went to the bathroom to urinate.
Ining daku nga balay sa bukid ay íla.,This big house on the mountain is theirs.
Ilá pa ang kabayo nga yara sa kudal.,The horse in the fence is still untamed.
Na’íla’ akú sa íya.,I like her.
Ginkaon sang ilagá’ ang nabilin nga tinapay.,The rat ate the leftover bread.
Malayo pa ang lalakton pakadto sa ilayá.,It's still a long walk to the hinterland.
Mabaskog ang ílig sang tubig sa suba pagkatapos sang bagyo.,The current of the water in the river is strong after the typhoon.
Naghanda kami sang matugnaw nga ilímnun para sa bisita.,We prepared a cold drink for the guest.
Nag’ílis akú sang báyu’.,I changed my clothes.
Nakahibalo sia maghambal sang Ilokano kay nagdaku sia sa Norte.,He knows how to speak Ilocano because he grew up in the North.
Naghatag kami sang regalo sa mga bata nga ílu.,We gave gifts to the orphan children.
Nabasa ang iya íluk sang balhas sa sobra nga init.,His armpit got wet with sweat from the extreme heat.
Indi mo pag-ílug ang malain nga buhat sang iban.,Do not imitate the bad deeds of others.
Matangos ang iya ilúng parehas sa iya iloy.,Her nose is pointed like her mother's.
Ginapadala ko ining kwarta para sa akon ilúy.,I am sending this money for my mother.
Maayo ini nga imbénto para magpadasig sang obra.,This is a good invention to speed up the work.
imbitasyón n invitation.,
Ang mga bag-o nga libro naghalin sa imprénta.,The new books came from the printing press.
Nag’ímpun ang mangá estudyánte sa libreríya.,The students gathered in the library.
Nag-abot sia sa opisina sang alas otso impúntu.,He arrived at the office at eight o'clock sharp.
Ini nga pula nga payong ay ímu.,This red umbrella is yours.
Malipayon ang pamilya bisan ímul lang sila.,The family is happy even if they are just poor.
Puno sang ímun ang iya tagipusuon.,His heart is full of jealousy.
Ginhambal niya ang istorya parte sa impyérno.,He told the story about hell.
Tilawí ang iníhaw.,Taste the roast.
Manámit ang sinúgbang ísda’.,The broiled fish is delicious.
Sinúgba ku ang ísda’.,I broiled the fish.
Pila iná’ nga sapatos sa bintana?,How much is that shoe in the window?
Malayú’ ang íya inapúkan.,He was thrown to a far place.
Linábhan ku ang mangá lagú’.,I washed the soiled clothes.
Nakita ko ang isa ka inánu nga nagapasundayag sa perya.,I saw a dwarf performing at the fair.
Palangga ko gid si índay nga akon manghod.,I really love Inday (my young sister).
Índi’ ako magpasugot sa imo malain nga plano.,I will not agree to your bad plan.
Nag-apil sia sa isa ka índis’índis sa pagkanta sa banwa.,He joined a singing competition in the town.
Nahadlok ang gamay nga bata sa ineksyón sang nars.,The little child was afraid of the nurse's injection.
Kay sin-o iní nga bag nga nabilin sa silya?,Whose bag is this left on the chair?
Nabatyagan ko ang daku nga ínit sang adlaw sa uma.,I felt the great heat of the sun on the farm.
Gin-bulad niya ang mga isda sa inítan para magmala.,He dried the fish in the sunshine so it would dry out.
Ang gindakop nga tawo ay inosénte sa mga natabo.,The arrested person is innocent of what happened.
Gindala niya sa korte ang insúltu nga nabaton niya.,He brought the insult he received to court.
Mataas ang interés sang utang sa bangko subong.,The loan interest at the bank is high now.
Nagbakal kami sang pansit sa tyangge sang Intsík.,We bought noodles at the Chinese store.
Puno sang íntu’ ang iya mga ginahambal sa dalaga.,His words to the young lady are full of flattery.
Inugsulát iní.,This is something to write with.
Bawal ang inúm sang makahulubog nga ilimnon sa sulod sang eskwelahan.,Drinking intoxicating liquor is prohibited inside the school.
Nag-preparar sia sang iya inúmul kay naakig sia.,He prepared his fist because he was angry.
Kinahanglan naton mangin ínut sa pag-gasto sang aton kwarta.,We need to be frugal in spending our money.
Gintabog niya ang inútil nga makina kay guba na.,He threw away the useless machine because it was broken.
Sa ínyu bala ining nakawala nga kanding?,Is this lost goat yours?
Matahum ang puti nga ingkáhi sa sidsid sang iya bayo.,The white lace at the hem of her dress is beautiful.
Ang daku nga kahoy ginapuy-an kuno sang mga ingkántu.,The big tree is reportedly inhabited by fairies.
Antigu gid sia maghambal sang inínglis.,He is very good at speaking English.
Ingít sia kaina kay nadula ang iya pitaka.,He was irritable earlier because he lost his wallet.
Nag’íngud ang síya kag ang lamésa.,The chair and the table are close together.
Sige ang íngus sang bata tungod sa sip-on.,The child keeps sniffling because of a cold.
Ipatahí’ ku ang báyu’.,I will have the dress sewed.
Gin’ipíngan ku si Lóurdes.,I sat beside Lourdes.
Gin’ípit ku ang kalamánsi.,I squeezed the lime.
Gintapakan niya sing aksidente ang íput sang ido.,He accidentally stepped on the dog's feces.
Maka-irás ang iya malain nga pamatasan.,His bad behavior makes one feel uncomfortable.
Hatagi ako sang isá ka baso nga tubig.,Give me one glass of water.
Nagbakal kami sang preska nga ísda’ sa merkado.,We bought fresh fish at the market.
Nag’ísi’ísi ang hubúg.,The drunk man staggered.
Indi ko na ma-ísip ang akon mga problema.,I can no longer count my problems.
Nadakpan sang mga pulis ang ispíya.,The police caught the spy.
Nasahísta si José.,Jose is a masseur.
Manami ang imo istórya parte sa imo kabuhi.,Your story about your life is nice.
Puti ang ísu nga ginagamit sang maestra sa pisara.,The chalk the teacher uses on the board is white.
Kinahanglan naton sang ísug sa pag-atubang sang problema.,We need courage to face the problem.
Nag’ísul akú pára maka’ági sya.,I moved back so she can pass.
Gin’íswag ku ang lamésa.,I moved the table.
Nagasunod ang gamay nga ítik sa iya nanay.,The little duckling follows its mother.
Basaha sing maayo ang itikíta sa botelya sang bulong.,Read the label on the medicine bottle well.
Pila ka ítlug ang imo lutuon para sa pamahaw?,How many eggs will you cook for breakfast?
Nagsuksok sia sang itúm nga bayo sa okasyon.,He wore a black shirt to the occasion.
Gamita ang flashlight bilang íwag sa madulom nga dalan.,Use the flashlight as light on the dark road.
Ma-íwat ang kahimtangan sang pasyente sa ospital.,The patient's condition in the hospital is grave.
Ini nga lapis nga yara sa lamesa ay íya.,This pencil on the table is hers.
Ákun líbro iná’ íya.,That book is mine.
Nag’úlupud ang mangá báta’ sa tindáhan.,The children went to the store with someone.
Mag’ulútud silá.,They are brothers and sisters.
Mabúg’at ang mangá dalágkung batú.,The boulders are heavy.
Halampángan iní.,This is a playground.
Naglá’aw ang dalága sa íya haranísta.,The lady looked out of the window to acknowledge her serenader.
Nag-labá si Nanay kaina sang aga.,Mother washed clothes earlier this morning.
Daku ang lába’ sang sining tela.,The length of this cloth is big.
Manghinaw ka sang imo kamot sa labábu.,Wash your hands in the washbasin.
Ginlábag mu ang kasugu’án.,You disobeyed the rule.
Gingamit niya ang labáha sa pagpamalbas.,He used the razor for shaving.
Labán sa mga tawo diri nagaugyon sa plano.,"Mostly/Besides, the people here agree with the plan."
Gindapatan sang labatíba ang pasyente.,The patient was given an enema.
Namit gid kaunon ang láb’as nga isda.,Fresh fish is very delicious to eat.
Labáw sia sa akon kon parte sa kaalam.,He is more than me when it comes to knowledge.
Nag-labáy ang dyip sa atubangan sang amon balay.,The jeepney passed by in front of our house.
Labí ang iya kalipay sang nakita niya ang iya pamilya.,Her happiness was exceeding when she saw her family.
Ginlabú’ ku ang púnu’ sang ságing.,I struck the trunk of the banana plant.
Nagláb’uk si Roméo sang tubá’ sa tyénda.,Romeo took a sip of tuba in the store.
I-labúgay ang asukar sa mainit nga kape.,Stir the sugar into the hot coffee.
Wala ka sing lábut sa akon personal nga kabuhi.,You have no business in my personal life.
Ginlábyug ku ang batú.,I hurled the stone.
